unit_name,building,sub_community,community,emirate,bedrooms,bathrooms,size_sqft,price_aed,price_period,agent,agency,dld_permit,listed_date,url
Full Lake View | High Floor | Spacious Layout,Damac Heights,,Dubai Marina,Dubai,2,3,1707,205000,yearly,Farooq Nawaz,Huaxin Real Estate,7116765724,2026-02-19,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PXslsnDS3k.html
Fully Furnished 1 Bedroom | High Floor |,Damac Heights,,Dubai Marina,Dubai,1,2,845,110000,yearly,Maksud Mamadjanovich Majidov,F & C Properties LLC,7116765734,2026-02-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PeRVLE10AS.html
Furnished | Chiller Free | Vacant April,Damac Heights,,Dubai Marina,Dubai,1,2,874,130000,yearly,Zeeshan Ahmad,betterhomes - Dubai Marina,7116765747,2026-03-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q8sTc4aETY.html
Fendi 3BR | Full Marina & Palm Views,Damac Heights,,Dubai Marina,Dubai,3,4,2264,245000,yearly,Uilliam Santos,DD Realty,7116765754,2026-03-24,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-67820950.html
12 CHEQUES | Stunning view | Best Deal!,Damac Heights,,Dubai Marina,Dubai,1,1,852,135000,yearly,IRYNA STRYGUN,STONETREE VACATION HOMES RENTAL L.L.C,7116765756,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PwZoTNRAK8.html
High Floor | Fendi Design | Available Soon,Damac Heights,,Dubai Marina,Dubai,1,2,953,160000,yearly,Abbigail Milne,Treo Homes,7116765784,2026-03-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q6mEVDfUtE.html
Unfurnished | Fendi | Marina View | Chiller Free !,Damac Heights,,Dubai Marina,Dubai,2,3,1706,169999,yearly,Nayan Lodaya,Exalt Real Estate L.L.C,7116765785,2026-03-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q5kABOgjzs.html
Fully Furnished | Full Palm View | Vacant,Damac Heights,,Dubai Marina,Dubai,4,6,3700,1000000,yearly,Matthew Brown,Espace Real Estate,7116765786,2026-02-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PT88TY4rJo.html
Sunlit | Sea Views | Vacant Ready to Move,Damac Heights,,Dubai Marina,Dubai,2,2,1752,129999,yearly,Gleb  Sysoenkov,Banke International Properties,7116765820,2026-02-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PlHzARwezw.html
1BED | FURNISHED | CHILLER FREE | SEA VIEW,Damac Heights,,Dubai Marina,Dubai,1,2,875,135000,yearly,Faizan Ahmed,GRIFFIN PROPERTIES,7116765828,2026-03-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q55iyZPTwO.html
Fully Furnished | Upgraded | Ready to Move-In,Damac Heights,,Dubai Marina,Dubai,2,3,1269,184999,yearly,Aleksej Tursic,NOOSA REAL ESTATE L.L.C,7116765849,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-64432266.html
Marina Views | Fendi | Unfurnished | Chiller Free,Damac Heights,,Dubai Marina,Dubai,1,2,653,140000,yearly,Faisal Mughal,CASABELLA LUXURY REAL ESTATE LLC,7116765856,2026-02-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16307335.html
Marina View | Spacious | High Floor | Vacant,Damac Heights,,Dubai Marina,Dubai,2,2,2022,230000,yearly,Bahar Aliyeva,Keller Williams Sheikh Zayed Road,7116765867,2026-02-25,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PhnuatRaO8.html
Marina View- Big Layout - Vacant - Chiller Free,Damac Heights,,Dubai Marina,Dubai,2,3,1631,178900,yearly,Omar Abed Al Aziz,Luxtown Properties,7116765881,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-65180694.html
Unfurnished | High Floor Unit | Prime Location,Damac Heights,,Dubai Marina,Dubai,1,2,848,140000,yearly,Tushar Chanchlani,Expert Homes Real Estate,7116765890,2026-02-07,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16261163.html
Furnished | Marina View | Fendi Design,Damac Heights,,Dubai Marina,Dubai,2,3,1624,220000,yearly,Ali Soomro,ENGEL & VÖLKERS Dubai - L1,7116765891,2026-02-19,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PXhS2nr7wm.html
Fully Furnished | Chiller Free | AVL 3rd April,Damac Heights,,Dubai Marina,Dubai,1,2,927,135000,yearly,Nicole Offer,haus & haus,7116765894,2026-03-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PtnERJsj8y.html
Full Marina View | High Floor | Available March,Damac Heights,,Dubai Marina,Dubai,1,2,962,155000,yearly,Mohammed Numan Uddin Fahad,McCone Properties,7116765903,2026-01-28,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Ox9d7zPLkW.html
Full Marina View | Brand New Renovation | Vacant,Damac Heights,,Dubai Marina,Dubai,2,3,1510,250000,yearly,Reece Hughes,McCone Properties,7116765918,2026-03-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q8K8JLYxwe.html
Marina & Sea View I High Floor I Prime Location,Damac Heights,,Dubai Marina,Dubai,1,1,832,110000,yearly,Hamidreza Motamed,Cozy Homes Real Estate,7116765920,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-64433859.html
Stunning Marina Views | High Floor | Furnished,Damac Heights,,Dubai Marina,Dubai,2,3,1537,250000,yearly,Elle Alger,Luxfolio Real Estate Brokers LLC,7116765923,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-64428374.html
UNFURNISHED 2 BEDROOM FOR RENT IN DAMAC HEIGHTS,Damac Heights,,Dubai Marina,Dubai,3,4,2264,259499,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7116765931,2026-03-03,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PrVY6HKwcq.html
Marina View | High Floor | Spacious 2 Bed,Damac Heights,,Dubai Marina,Dubai,2,3,1440,190000,yearly,Mahmoud Osman,M J Bay Real Estate,7116765963,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-65567974.html
Fendi Style | Amazing Sea Views | High Floor,Damac Heights,,Dubai Marina,Dubai,1,2,701,135000,yearly,Sangita Jetty,CASABELLA LUXURY REAL ESTATE LLC,7116765964,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-65557893.html
Bills Included | Furnished | Ready Now,Damac Heights,,Dubai Marina,Dubai,1,2,848,138000,yearly,Abbigail Milne,Treo Homes,7116765987,2026-03-02,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Pqe9pOoGnI.html
Marina View | Large Layout | High Floor | Vacant,Damac Heights,,Dubai Marina,Dubai,1,1,959,159900,yearly,Hammad Raza Khalid,fam Properties - Branch 6,7116765988,2026-03-09,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q1VOYEojVw.html
Sea and Ain Dubai View | High Floor | Furnished,Damac Heights,,Dubai Marina,Dubai,1,2,953,140000,yearly,Olga Pankina,WHITEWILL REAL ESTATE BROKERS L.L.C,7116765990,2026-03-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q3NLnBbZsu.html
Chiller Free I Furnished I Marina View,Damac Heights,,Dubai Marina,Dubai,1,2,678,105000,yearly,Priscilla Majorine,LOKHS REAL ESTATE L.L.C,7116766013,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-67430480.html
Sea View | upgraded | Corner Unit,Damac Heights,,Dubai Marina,Dubai,1,2,811,130000,yearly,Lowri Scrivens,betterhomes - Dubai Marina,7116766021,2026-03-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q4w2tiUV8a.html
Palm View | Unfurnished | High Floor,Damac Heights,,Dubai Marina,Dubai,2,3,1696,230000,yearly,Ahmed Abouelnaga,ENGEL & VÖLKERS Dubai - L1,7116766022,2026-01-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16167149.html
High Floor | Ready to move | Sea and Palm Views,Damac Heights,,Dubai Marina,Dubai,2,3,1336,260000,yearly,Rosalita Basto,QUINTA ESTATES L.L.C,7116766026,2026-03-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q4r9epitu4.html
Marina View | Luxury Living | Prime Location,Damac Heights,,Dubai Marina,Dubai,1,2,962,140000,yearly,Patrick Castro,ALH PROPERTIES,7116766039,2026-03-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q8UL6FsjdQ.html
Well Maintained 2BR | Full Marina View | Middle Floor,Damac Heights,,Dubai Marina,Dubai,2,3,1474,180000,yearly,Tolulope Olawumni Onanaye,OLAT PROPERTIES,7116766041,2026-02-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16317578.html
Furnished | Marina View | Available 15th April,Damac Heights,,Dubai Marina,Dubai,1,2,840,130000,yearly,Priscilla Majorine,LOKHS REAL ESTATE L.L.C,7116766052,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-65575977.html
Serviced 2BR | Multiple Cheques  | Sea View,Damac Heights,,Dubai Marina,Dubai,2,2,1366,210000,yearly,Tolulope Olawumni Onanaye,OLAT PROPERTIES,7116766056,2026-03-24,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-67819140.html
Full Palm View | Fendi Design | Fully furnished,Damac Heights,,Dubai Marina,Dubai,1,2,953,135000,yearly,Asad Reza,URBAN BRICKS REAL ESTATE L.L.C,7116766068,2026-03-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q6ex272i1o.html
Fully Furnished | High Floor | Sea View,Damac Heights,,Dubai Marina,Dubai,1,2,832,135000,yearly,Maaz Ansari,Unicon Real Estate Broker,7116766080,2026-02-25,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Phr1DjoGUS.html
Chiller Free | Sea view | Upgraded Fendi Design,Damac Heights,,Dubai Marina,Dubai,3,4,1878,280000,yearly,Behnia Tavassoli,Veer & Sant Real Estate L.L.C.,7116766083,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-67443809.html
Available! Full Sea View! Best Quality!,Damac Heights,,Dubai Marina,Dubai,2,3,1450,179997,yearly,Illia Bilyk,Sumy Real Estate,7116766090,2026-03-15,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2QC8RgEDrTk.html
High-Floor 2BR Marina Sea Views | Furnished,Damac Heights,,Dubai Marina,Dubai,2,3,1406,199999,yearly,Andrew White,ALH PROPERTIES,7116766101,2026-03-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q6THzL7sjA.html
Fully Upgraded | Chiller Free | Available April,Damac Heights,,Dubai Marina,Dubai,2,3,1320,240000,yearly,Lauren Mason,Luxfolio Real Estate Brokers LLC,7116766104,2026-03-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q6pn35Ljsm.html
Palm and Sea View | Fendi Design | Chiller Free,Damac Heights,,Dubai Marina,Dubai,1,2,725,134900,yearly,Sana Ullah,Huspy Dubai,7116766116,2026-03-09,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q1u3gWcOYK.html
Available Now | High Floor | Sea View | 2 Bedroom,Damac Heights,,Dubai Marina,Dubai,2,2,1406,220000,yearly,Santina Iantosca,haus & haus,7116766119,2026-03-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2Q8E5zFtTua.html
Exclusive | Fully Furnished | Sea View,Damac Heights,,Dubai Marina,Dubai,1,2,890,130000,yearly,Madeleine Ward,ENGEL & VÖLKERS Dubai - L1,7116766121,2026-02-14,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16329650.html
Luxury Furnished Unit | 2BR | Sea View,Damac Heights,,Dubai Marina,Dubai,2,3,1799,215000,yearly,ZEYAD EMADELDIN,EMINENCE ENCLAVE REALESTATE L.L.C,7116766125,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-67429304.html
Full Sea Views |Fendi |Fully Furnished,Damac Heights,,Dubai Marina,Dubai,1,2,883,134999,yearly,Nathan Allan,White & Co Real Estate,7116766131,2026-03-24,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-67819483.html
Elegant 1 BR | Spacious Balcony | Marina Views,Damac Heights,,Dubai Marina,Dubai,1,1,950,130000,yearly,Ehsan Syed Askari,Property Market,7116766135,2026-01-26,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16165042.html
FULL FURNISHED 2 BEDROOM FOR RENT IN DAMAC HEIGHTS,Damac Heights,,Dubai Marina,Dubai,2,3,1537,268999,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7116766141,2026-02-02,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16221429.html
Fendi Apartment |  Sea and Palm View | Marina Walk,Damac Heights,,Dubai Marina,Dubai,1,2,677,120000,yearly,Sidra Tufail,AQUA Properties,7116766142,2026-02-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PUh5oSd3nE.html
Fendi Design Furnished | DeluxeSeaView | High Flr,Damac Heights,,Dubai Marina,Dubai,2,3,1412,200000,yearly,Urvashi Sidhapara,betterhomes - Dubai Marina,7116766158,2026-02-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PlH34H9Fwm.html
Elegant Furnished Unit | 1BR |Sea and Marina View,Damac Heights,,Dubai Marina,Dubai,1,2,875,135000,yearly,Timur Nasimov,Livstate,7116766161,2026-01-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16145816.html
2Bedroom | Marina Walk | Spacious Layout,Damac Heights,,Dubai Marina,Dubai,2,2,1265,175000,yearly,Godson Joe,TRINITY REAL ESTATE L.L.C,7116766164,2026-02-26,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-2PjPB8LRMGG.html
Ideal Price | 1BR Furnished | Stunning Sea View,Damac Heights,,Dubai Marina,Dubai,1,2,887,130000,yearly,Nurbek Omurov,TRUSTED REAL ESTATE L.L.C,7116766183,2026-02-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-2PkyssavvWa.html
Full Marina View | High Floor | Vacant,Damac Heights,,Dubai Marina,Dubai,3,5,1903,299000,yearly,Huzefa Ali,LUXURY ONE REAL ESTATE L.L.C,7116766185,2026-02-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-16289550.html
Palm Views | Furnished | High Floor,Damac Heights,,Dubai Marina,Dubai,1,2,802,150000,yearly,Tiago Oliveira,Edwards and Towers Real Estate Brokers,7116766202,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-64436615.html
Private Pool | Upgraded | Sea View | Vacant Soon,Trident Waterfront,,Dubai Marina,Dubai,3,5,5878,440000,yearly,Muhammad Touseef Baig Mughal,Aurantius Real Estate,7116826700,2026-02-05,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-dubai-marina-trident-waterfront-16245841.html
Community View | Fully Furnished | Multiple Cheque,Barcelo Residences (Al Dar Tower),,Dubai Marina,Dubai,1,2,694,100000,yearly,Abdallah  Hamdy ElSabagh,18 Bricks Real Estate Brokers,71170243188,2026-03-24,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-barcelo-residences-al-dar-tower-67836692.html
Managed | Unfurnished | Low Floor | Community View,Trident Waterfront,,Dubai Marina,Dubai,3,3,2326,175000,yearly,Amber Louise Courtney,betterhomes - Dubai Marina,7117051400,2026-03-05,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-trident-waterfront-2PunjF9QVvM.html
Huge Layout | Marina View | with Storage,Trident Waterfront,,Dubai Marina,Dubai,3,4,2326,180000,yearly,Muhammad Touseef Baig Mughal,Aurantius Real Estate,7117164800,2026-02-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-trident-waterfront-16232882.html
FURNISHED | 1 BEDROOM WITH BALCONY | DIAMOND 3,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,682,69499,yearly,Vikas Dahiya,Royal Manor Real Estate Broker,7117205300,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-65579941.html
Exclusive | Vacant | Upgraded Unit | Chiller Free,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,623,85000,yearly,Lyba Waqar,Aaronz & Co Real Estate,7117221600,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-64428072.html
Vacant | Furnished | Chiller free | Near Metro,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,2,2,1009,120000,yearly,Andrew Stephen Bush,Exclusive Links Real Estate Brokers - Marina Branch,7117256500,2026-01-21,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2OlwG01D0Do.html
Renovated | Steps from Metro | Brand New Furniture,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,682,70000,yearly,Oleksandr Blizniukov,District Real Estate - DXB,7117257200,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-65154163.html
FURNISHED | 1 BEDROOM WITH BALCONY | DIAMOND 3,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,737,74499,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7117265600,2026-03-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2Q6y2pDhPvs.html
Marina View | Fully Furnished | Near Metro,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,studio,1,427,64999,yearly,Muhammad Bilal,Creative Homes Real Estate Broker LLC,7117266200,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-67429979.html
Furnished 1 BR Apartment | Vacant | Near Metro |,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,624,77000,yearly,Mubashir Hussain,Pleasant Real Estate Brokers,7117266700,2026-03-02,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2Pqy57ukgKG.html
Best Offer | Prime Location | From 5th of May,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,737,75000,yearly,Franziska Jenni,Terra Nova Real Estate Brokers,7117267000,2026-03-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2Q3HMqqeQ8f.html
Chiller Free | Luxury Upgraded-Near Metro and Tram,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,2,2,1009,144999,yearly,Faisal Mughal,CASABELLA LUXURY REAL ESTATE LLC,7117267300,2026-02-26,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2Pjb2YYSj9U.html
Furnished Studio | Balcony | Marina & Skyline View,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,studio,1,445,68000,yearly,JADRANKA MARAS,LUX SOLIS REAL ESTATE L.L.C,7117273200,2026-03-05,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2PvKmxfXK6K.html
Furnished Studio for Rent | Near Metro,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,studio,1,427,65000,yearly,Anastasia Maltseva,SMART NEUK REAL ESTATE L.L.C,7117285000,2026-03-03,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-2Ps58evvoOW.html
Exclusive | Fully Furnished | Near Metro,Marina Diamond 3,Marina Diamonds,Dubai Marina,Dubai,1,1,727,90000,yearly,Muhammad Bilal,Creative Homes Real Estate Broker LLC,7117290400,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-diamonds-marina-diamond-3-65566227.html
Fully Furnished | Marina View | Ready to Move,Marina Star,,Dubai Marina,Dubai,studio,1,491,95000,yearly,Juan Di Salvo,Disalvo Real Estate,7117484212,2026-02-09,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16276949.html
Direct Facing to Marina View from Hall and Bedroom,Marina Star,,Dubai Marina,Dubai,1,2,912,130000,yearly,Elham Moradi Pour,ELIMOR REAL ESTATE,7117484214,2026-01-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16167173.html
Full Marina View | Prime Location | Brand New,Marina Star,,Dubai Marina,Dubai,1,2,912,150000,yearly,Sangita Jetty,CASABELLA LUXURY REAL ESTATE LLC,7117484215,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-65558231.html
Direct Facing to Marina View | Brand New | Vacant.,Marina Star,,Dubai Marina,Dubai,1,2,948,145000,yearly,Elham Moradi Pour,ELIMOR REAL ESTATE,7117484239,2026-01-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16167432.html
Unfurnished | Luxury Unit | Ready to Move,Marina Star,,Dubai Marina,Dubai,studio,1,504,94999,yearly,Eoin Mageean,White & Co Real Estate,7117484248,2026-02-19,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-2PXhvYXJyL2.html
Largest Layout | Penthouse | Stunning Views,Marina Star,,Dubai Marina,Dubai,2,3,1629,225000,yearly,Lara Park,haus & haus,7117484254,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-65151618.html
Brand New |Upgraded |Fully Furnished |Marina View,Marina Star,,Dubai Marina,Dubai,1,1,841,145000,yearly,AHMAD  ALKADDAH,KINGDOM REAL ESTATE L.L.C,7117484271,2026-02-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-2PeaAYrWrVQ.html
Luxury Finishing | Marina View | Furnished,Marina Star,,Dubai Marina,Dubai,studio,1,489,160000,yearly,Aadil  Baig,HOUSE & HEDGES REAL ESTATE,7117484278,2026-02-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16287680.html
Unfurnished | Studio Apt | Marina View,Marina Star,,Dubai Marina,Dubai,studio,1,480,105000,yearly,Wade Mansfield,Allsopp & Allsopp - Residential Lettings,7117484294,2026-03-24,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-67819314.html
Full Marina View | 2 Balconies | Brand New |Vacant,Marina Star,,Dubai Marina,Dubai,1,2,912,140000,yearly,Elham Moradi Pour,ELIMOR REAL ESTATE,7117484297,2026-01-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16167412.html
BRAND NEW | FURNISHED | MARINA VIEWS,Marina Star,,Dubai Marina,Dubai,studio,1,483,110000,yearly,Damir Kashtapiyev,SB CAPITAL REAL ESTATE L.L.C,7117484300,2026-03-09,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-2Q1lEaXnNyK.html
New!! | First Time on the Market | Fully Furnished,Marina Star,,Dubai Marina,Dubai,2,2,1180,165000,yearly,Petr Raspopov,Intrust Real Estate LLC,7117484305,2026-03-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-2Q6fgDGfqPA.html
Marina View | Fully Furnished | Upgraded Interior,Marina Star,,Dubai Marina,Dubai,studio,1,507,95000,yearly,Evgenii Agoshkov,ETAGI Real Estate,7117484311,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-2PwkqlG4kHg.html
Sea View | Good Price | High Floor,Marina Star,,Dubai Marina,Dubai,studio,1,491,110000,yearly,Akarsh Arora,A SQUARED REAL ESTATE L.L.C,7117484333,2026-03-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-2Q3MMmm5m7s.html
Furnished | Modern Layout | Prime Marina Location,Marina Star,,Dubai Marina,Dubai,1,2,687,125000,yearly,Jason Kadria,Dacha Real Estate,7117484339,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-64416263.html
Furnished | Modern Layout | Prime Location,Marina Star,,Dubai Marina,Dubai,1,2,687,140000,yearly,Jason Kadria,Dacha Real Estate,7117484355,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-64413961.html
MARINA VIEWS I FURNISHED I PRIME LOCATION,Marina Star,,Dubai Marina,Dubai,studio,1,504,100000,yearly,Purnima Sahni,Blue Lagoons Real Estate,7117484357,2026-02-02,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16219620.html
Directly Facing Marina View from Hall and Bedroom.,Marina Star,,Dubai Marina,Dubai,1,2,912,135000,yearly,Elham Moradi Pour,ELIMOR REAL ESTATE,7117484366,2026-01-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-star-16167218.html
FULLY UPGRADED | 2 BEDROOM | SKYVIEW TOWER,Skyview Tower,,Dubai Marina,Dubai,2,3,1605,249000,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7117648270,2026-02-01,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-skyview-tower-16211449.html
