evidence date,data points,all developments,community/building,sub community / building,sub community / building.1,beds,annualised rental price (aed),contract rental price (aed),unit size (sq ft),plot size (sq ft),rent (aed/sq ft),unit type,floor level,unit no.,rent recurrence,view,developer name,source,comments,villa type,maid,study,balcony,select data points,price (aed),price (aed/sq ft),sales recurrence,frequency,chiller fee included,furnished,utilities
01 Mar 2026,Rental Contracts,Jumeirah Park,Jumeirah Park - District 1,,,5,617039.0,945000.0,5436.0,8611.0,114.0,Villa,G+1,JPI5V009,New Contract,-,Nakheel,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Marina,Princess Tower,,,1,105000.0,105000.0,924.0,,114.0,Apartment,73,7307,Renewal,-,Tameer Holding Investment,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Barsha,Al Barsha 3,,,-,474350.0,950000.0,,7492.0,,Villa,G+1,0,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Suq Al Kabeer,-,,,1,55000.0,55000.0,698.0,,79.0,Apartment,-,101/A,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Rayyan Building,,2,78830.0,78830.0,1402.0,,56.0,Apartment,1,102-B,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Trade Center 1,DXB Tower,,,2,106000.0,106000.0,17717.0,,6.0,Apartment,14,1402,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Marina,Marina Mansions,,,3,220000.0,220000.0,2634.0,,84.0,Apartment,19,1903,New Contract,-,Al Sandos,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Umm Hurair,Umm Hurair 1,,2,85000.0,85000.0,1180.0,,72.0,Apartment,-,301,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Port Saeed,Dubai Shopping Center,,-,57173.0,57173.0,444.0,,129.0,Office,-,FF-29,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Downtown Dubai,Downtown,Mada Residences,,2,180000.0,180000.0,1628.0,,111.0,Apartment,12,1203,Renewal,-,Artar,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Town Square,Warda,Warda 2,,2,88000.0,88000.0,1003.0,,88.0,Apartment,4,416,Renewal,-,Nshama,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Hor Al Anz,Hor Al Anz East,Al Zubaidi Building,2,64000.0,64000.0,1200.0,,53.0,Apartment,-,106,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Souq Al Kabeer,Samayen,,2,60000.0,60000.0,1168.0,,51.0,Apartment,-,Flat No.50,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 1,Al Shaali Building,,-,60000.0,60000.0,652.0,,92.0,Office,-,422,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Ttay,-,,,-,85000.0,85000.0,1604.0,,53.0,Warehouse,-,S05,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Muteena,,,1,55000.0,46110.0,6189.0,,9.0,Apartment,-,F402A,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Village Circle,JVC District 11,Hadley Heights,,1,85000.0,85000.0,964.0,,88.0,Apartment,11,1107,New Contract,-,LEOS Developments,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Rigga,,,2,130000.0,130000.0,1131.0,,115.0,Apartment,-,202,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Souq Al Kabeer,Samayen,,2,64900.0,64900.0,1116.0,,58.0,Apartment,-,201,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Mamzar,Soul Avenue,,2,77000.0,77000.0,1350.0,,57.0,Apartment,8,806-B,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Remraam,Al Ramth,Al Ramth 47,,Studio,36383.0,36383.0,468.0,,78.0,Apartment,2,209,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Arjan,Diamond Business Centre,Diamond Business Centre 1,Diamond Business Centre Block A,-,85000.0,85000.0,627.0,,136.0,Office,4,412,New Contract,-,Diamond Developers,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Murar,Al Murar Building,,Studio,32000.0,32000.0,319.0,,100.0,Apartment,-,Flat No.202,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Nad Al Hamar,Nad Al Hamar One Building,,,1,47408.0,47408.0,804.0,,59.0,Apartment,6,607,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Murar,,,1,40000.0,40000.0,499.0,,80.0,Apartment,-,Flat-5,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Nahda,Al Nahda 1,,,3,72500.0,72500.0,1350.0,,54.0,Apartment,11,1109,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Safa,Al Safa 2,,,-,520000.0,520000.0,,4930.0,,Villa,G+1,,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Qusais Second,-,,,-,99000.0,99000.0,1625.0,,61.0,Office,-,M12,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Lakes Towers,Cluster D,Lake Terrace,,2,180000.0,180000.0,1242.0,,145.0,Apartment,5,509,New Contract,-,DAMAC Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Satwa,-,,,2,70000.0,70000.0,1320.0,,53.0,Apartment,-,5,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Buteen,,,-,101646.0,110000.0,167.0,,610.0,Retail,-,S5,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Nad Al Sheba,Nad Al Sheba 3,,,-,70000.0,70000.0,630.0,,111.0,Retail,-,SH 18,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Port Saeed,Dubai Shopping Center,,-,45000.0,45000.0,219.0,,205.0,Office,-,SF-18,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Muraqqabat,,,-,80328.0,80328.0,1000.0,,80.0,Office,-,302,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Barsha Heights (Tecom),Al Fahad Towers,Al Fahad Tower 2,,2,93713.0,93713.0,1397.0,,67.0,Apartment,10,1001,Renewal,-,Al Fahad Holding,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Residence Complex,Durar 1,Durar 1 Building 1,,3,86000.0,86000.0,1496.0,,57.0,Apartment,9,904A,Renewal,-,Durar Al Emarat Properties LLC,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Qusais First,-,,,2,46000.0,46000.0,1325.0,,35.0,Apartment,-,202,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Dhagaya,,,-,57500.0,57500.0,485.0,,119.0,Office,-,1-FM,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,,,-,90000.0,90000.0,362.0,,249.0,Retail,-,Shop 9,Renewal,-,Private Developer,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Khazna Centre,,2,76000.0,76000.0,910.0,,84.0,Apartment,2,218,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Rigga,Abdulla Haji Kamber Building,,-,226800.0,226800.0,2422.0,,94.0,Retail,-,S03,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Shamma Building,,2,82500.0,165000.0,1474.0,,56.0,Apartment,4,410,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Blouki Building,,2,109450.0,109450.0,11222.0,,10.0,Apartment,1,107,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Business Bay,Churchill Towers,Churchill Executive Tower,,-,165000.0,165000.0,934.0,,177.0,Office,25,2506,Renewal,-,Emirates National Investment,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,International City Phase 2,Siham Building,,,1,43000.0,43000.0,823.0,,52.0,Apartment,3,304,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Industrial City,Rashid Shafiulla Building,,,1,53900.0,53900.0,838.0,,64.0,Apartment,1,F-15,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Village Circle,JVC District 12,Emirates Gardens 1,Lavender | Lavender 1,1,65000.0,65000.0,903.0,,72.0,Apartment,3,302,Renewal,-,DAMAC Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Furjan,Al Furjan West,Azizi Farishta,,1,75000.0,75000.0,769.0,,98.0,Apartment,7,712,Renewal,-,Azizi,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Mamzar,Soul Avenue,,2,75000.0,75000.0,1182.0,,63.0,Apartment,13,1308-A,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Buteen,,,-,399726.0,1600000.0,861.0,,465.0,Retail,-,shop no 3,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Trade Center 1,Fairmont Dubai,,,2,165165.0,165165.0,2410.0,,69.0,Apartment,32,3203,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Jaddaf,Emerald Jadaf Metro,,,1,75000.0,75000.0,764.0,,98.0,Apartment,4,405,Renewal,-,Emerald Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Khazna Centre,,2,73000.0,73000.0,893.0,,82.0,Apartment,3,311,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,City Walk,City Walk Building 3B,,,2,208725.0,208725.0,1907.0,,109.0,Apartment,3,303,New Contract,-,Meraas,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Village Circle,JVC District 13,Plaza Residences,Plaza Residences Block A,1,70000.0,70000.0,858.0,,82.0,Apartment,3,D313,Renewal,-,Sky Overseas Real Estate Development LLC,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Sports City,Elite Sports Residence,Elite Sports Residence 9,,Studio,34382.0,34382.0,437.0,,79.0,Apartment,12,1210,Renewal,-,Triplanet International,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Rigga,Sheikha Mariam Building,,-,36380.0,36380.0,108.0,,337.0,Office,-,709-51,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,,,2,88000.0,88000.0,820.0,,107.0,Apartment,-,114,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Mankhool,Bukash Building,,2,78829.0,78829.0,,,,Apartment,-,106,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Khazna Centre,,1,52000.0,52000.0,577.0,,90.0,Apartment,4,425,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Hor Al Anz,Hor Al Anz West,Al Subaihi Building,Studio,32000.0,32000.0,,,,Apartment,-,103,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Snooker Point Building,,2,90455.0,75833.0,,,,Apartment,1,106,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Raffa,,,2,80000.0,80000.0,,,,Apartment,-,201,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Daghaya,,,-,85000.0,85000.0,484.0,,176.0,Office,-,off101,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Ayal Nasir,Abdulrahiman Hussain Alhassan Abul Aziz,,-,65000.0,65000.0,312.0,,208.0,Retail,-,SHOP NO. 08,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Muraqqabat,,,1,57750.0,57750.0,3333.0,,17.0,Apartment,5,502,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Business Bay,The Metropolis,,,-,160000.0,160000.0,1159.0,,138.0,Office,6,613,Renewal,-,Deyaar,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Twar 1,Nasser Lootah Building,Nasser Lootah Building Block A,,1,38115.0,38115.0,666.0,,57.0,Apartment,4,430-A,Renewal,-,Lootah Real Estate Development,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Pyramid Centre,,-,583000.0,583000.0,6240.0,,93.0,Showroom,-,Showroom 1,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Raffa,,,3,54869.0,23000.0,1636.0,,34.0,Apartment,-,504,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Mehta,Al Nasr Plaza Offices,,-,157558.0,170940.0,1221.0,,129.0,Office,-,209,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Nahda,Al Nahda 2,Saeed Tower,,1,44000.0,44000.0,597.0,,74.0,Apartment,8,809,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Sports City,Elite Sports Residence,Elite Sports Residence 2,,Studio,36000.0,36000.0,412.0,,87.0,Apartment,10,1013,Renewal,-,Triplanet International,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Muteena,,,-,95000.0,95000.0,1184.0,,80.0,Office,-,102,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Trade Center 2,Dusit Thani Hotel,,,3,154330.0,154330.0,,,,Apartment,-,2002,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,,,1,66000.0,66000.0,108.0,,611.0,Apartment,-,204,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Qusais First,-,,,3,59000.0,59000.0,1000.0,,59.0,Apartment,12,1202,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,Al Rashid Building,,1,50000.0,50000.0,732.0,,68.0,Apartment,1,104,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Muraqqabat,,,1,50000.0,50000.0,,,,Apartment,-,409,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Muteena,,,Studio,27000.0,27000.0,194.0,,139.0,Apartment,-,211,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,International City,Greece Cluster,Block K,Building K-07,-,70300.0,70300.0,786.0,,89.0,Retail,G,S08,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Ayal Nasir,,,-,70000.0,70000.0,380.0,,184.0,Retail,-,10,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Barsha,Al Barsha 2,,,-,60000.0,60000.0,18850.0,,3.0,Retail,-,shop no 1,Renewal,-,Private Developer,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Creek Harbour,Address Harbour Point,Address Harbour Point Tower 2,,1,175000.0,175000.0,911.0,,192.0,Hotel Apartment,G,G06,New Contract,-,Emaar,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Offices Land Building,Offices Land Building Block 2,-,115000.0,115000.0,1350.0,,85.0,Office,-,04,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Village Circle,JVC District 16,Alef Noon Residence,,1,24000.0,24000.0,1323.0,,18.0,Apartment,2,201,New Contract,-,Albait Al Duwaliy Real Estate Development,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Barsha,Al Barsha 2,,,-,921717.0,1000000.0,6071.0,,152.0,Retail,-,1,New Contract,-,Private Developer,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Al Nasr Square Block A,,1,69300.0,69300.0,802.0,,86.0,Apartment,6,A 605,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Barsha,Al Barsha 1,Sama Building,,-,73798.0,74000.0,517.0,,143.0,Office,-,903,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Industrial City,-,,,-,400000.0,400000.0,142498.0,,3.0,Workshop,G,FACTORY 1,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Twar 4,-,,,-,37750.0,37750.0,258.0,,146.0,Retail,-,1,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Mirdif,-,,,-,110000.0,110000.0,,32615.0,,Villa Complex,-,0,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Furjan,Al Furjan West,Avenue Residence 3,,2,103000.0,103000.0,1466.0,,70.0,Apartment,5,503,Renewal,-,Nabni Developments,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Ras,,,-,120000.0,120000.0,550.0,,218.0,Retail,-,S7,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,Masaken Al Warqa 02,,2,69457.0,69457.0,1249.0,,56.0,Apartment,2,234,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Qusais First,-,,,3,66000.0,66000.0,1367.0,,48.0,Apartment,-,905,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Umm Hurair,Umm Hurair 2,Al Jawhara Building,-,38320.0,80000.0,324.0,,118.0,Retail,-,S-13,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Arjan,Torino Residences,Torino Residences 2,,1,80000.0,80000.0,534.0,,150.0,Apartment,3,302,New Contract,-,Oro24,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Silicon Oasis,Arabian Gate,,,Studio,38000.0,38000.0,446.0,,85.0,Apartment,8,803,New Contract,-,Time Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Ras,Al Marri Al Ras Building,,-,70000.0,70000.0,262.0,,267.0,Retail,-,2,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Corniche Deira,Waterfront Market,,-,30000.0,30000.0,205.0,,146.0,Office,-,OC-27-07,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Rigga,,,2,122199.0,122199.0,1273.0,,96.0,Apartment,-,703,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Khawaneej,Al Khawaneej 2,,,-,198450.0,198450.0,,6501.0,,Villa,G+1,0,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Business Venue Building,,-,69000.0,69000.0,845.0,,82.0,Office,-,O207,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Quoz,Al Quoz 3,,,-,48300.0,48300.0,672.0,,72.0,Office,-,203,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,International City,Italy Cluster,Block U,Building U-16,Studio,28000.0,28000.0,484.0,,58.0,Apartment,G,G06,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Jaddaf,The Probe,,,2,102000.0,102000.0,1023.0,,100.0,Apartment,8,801,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Satwa,Jumairah Garden 1,,,1,58190.0,58190.0,831.0,,70.0,Apartment,1,103,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,International City Phase 2,Farah Residence,,,1,47250.0,47250.0,895.0,,53.0,Apartment,2,204,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Quoz,Al Quoz Industrial Area,Al Quoz Industrial Area 1,,-,81192.0,81192.0,,19900.0,,Factory,-,136,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Business Bay,Vezul Residence,,,1,100000.0,100000.0,901.0,,111.0,Apartment,15,1502,Renewal,-,Vezul Real Estate,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Naif,Bin Thani Plaza,,-,34000.0,34000.0,165.0,,206.0,Retail,-,GS-09,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Buteen,,,-,77000.0,77000.0,389.0,,198.0,Office,-,101,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Liwan,MHA Building,,,2,90000.0,90000.0,1619.0,,56.0,Apartment,2,211,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Media City,Sand Infra Building,,,-,378752.0,505348.0,3486.0,,109.0,Office,1,101,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,International City Phase 2,Farah Residence,,,-,76388.0,76388.0,952.0,,80.0,Retail,G,S03,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Moosawi Building,,2,80000.0,80000.0,1100.0,,73.0,Apartment,2,203,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Downtown Jebel Ali,Suburbia,Suburbia Podium,,2,68250.0,68250.0,970.0,,70.0,Apartment,2,P214,Renewal,-,DAMAC Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Ras,,,1,49500.0,49500.0,333.0,,149.0,Apartment,-,Flat No-4,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Lakes Towers,Cluster M,Icon Tower 1,,2,110000.0,110000.0,970.0,,113.0,Apartment,31,3101,Renewal,-,Vakson Real Estate,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Murar,,,-,74551.0,62500.0,12798.0,,6.0,Retail,-,SHOP 3,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Nabooda Building,,-,39600.0,39600.0,383.0,,103.0,Retail,-,SHOP 6,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Jumeirah Village Circle,JVC District 14,Al Zain Residence,,Studio,48000.0,48000.0,460.0,,104.0,Apartment,3,316,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Al Nabooda Building,,2,82000.0,82000.0,1195.0,,69.0,Apartment,3,307,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Quoz,Al Quoz Industrial Area,Al Quoz Industrial Area 1,,-,561250.0,561250.0,,125000.0,,Factory,-,260,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,International City Phase 2,Hala Residence,,,2,59168.0,59168.0,1447.0,,41.0,Apartment,5,506,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Mirdif,-,,,-,123981.0,62500.0,,2400.0,,Villa Complex,-,0,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Matar Salim Arti,Matar Salim Arti B,-,810338.0,810338.0,6095.0,,133.0,Retail,-,SHOP 1,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Al Karama 4 Building,,1,50936.0,50936.0,1152.0,,44.0,Apartment,4,408,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Port Saeed,Business Village,Business Village B,-,94500.0,94500.0,298.0,,317.0,Office,-,4-J/04,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Town Square,Hayat Townhouses,,,3,113200.0,113200.0,2210.0,2160.0,51.0,Townhouse,G+1,TS HYT TH-V-102,Renewal,-,Nshama,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Ayal Nasir,,,-,21000.0,21000.0,183.0,,115.0,Apartment,-,M3,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Trade Center 1,Al Hawai Tower,,,3,130000.0,130000.0,3800.0,,34.0,Apartment,16,1603,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Town Square,Holland Gardens,,,1,75000.0,75000.0,660.0,,114.0,Apartment,2,207,New Contract,-,Nshama,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Production City,Lakeside Residence,Lakeside Tower B,,1,56154.0,56000.0,812.0,,69.0,Apartment,20,2012,Renewal,-,DAMAC Properties,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Downtown Dubai,Downtown,Boulevard Point,,1,115500.0,115500.0,930.0,,124.0,Apartment,P5,501,New Contract,-,Emaar,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Dubai Sports City,Olympic Park Towers,Olympic Park Tower 3,,2,110000.0,110000.0,1618.0,,68.0,Apartment,6,601,New Contract,-,GGICO,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Al Souq Al Kabeer,Samayen,,-,130000.0,130000.0,498.0,,261.0,Retail,-,4,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Hor Al Anz,Hor Al Anz East,Abu Hail Residence,2,85000.0,85000.0,4585.0,,19.0,Apartment,-,405 B,New Contract,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Naif,,,-,92400.0,92400.0,197.0,,469.0,Retail,-,shop10,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Deira,Al Daghaya,,,-,110000.0,110000.0,137.0,,803.0,Retail,-,shop5,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,,,1,45000.0,45000.0,1100.0,,41.0,Apartment,-,306,Renewal,-,Private Developer,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Al Suq Al Kabeer,-,,,-,157500.0,157500.0,342.0,,461.0,Retail,-,SH 01,Renewal,-,,-,-,,,,,,,,,,,,
01 Mar 2026,Rental Contracts,Bur Dubai,Oud Mehta,Al Nasr Palace,,1,77000.0,77000.0,108.0,,713.0,Apartment,3,313,Renewal,-,,-,-,,,,,,,,,,,,
